global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc,date
14528,50.0,2025-11-23 03:29:42,14528,"晋宁区生态环境分局, Kunming (昆明晋宁区生态环境分局)",https://aqicn.org/city/china/kunming/jinningqushengtaihuanjingfenju,24.6736,102.5967,30,pm25,30.0,13.0,25.2,3.7,1.1,4.6,13.0,62.0,1027.0,6.6,6.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:40,2025-11-23
14641,78.0,2025-11-23 03:29:42,14641,"Thái Bình/Trạm quan trắc khí tại Thái Thụy, Vietnam",https://aqicn.org/city/vietnam/thai-binh/tram-quan-trac-khi-tai-thai-thuy,20.461641,106.516972,61,pm25,61.0,48.0,,,,,23.4,54.8,1022.0,2.0,13.8,0.9,,2025-11-23 11:00:00,+07:00,1763895600,2025-11-23 04:38:27,2025-11-23
14645,65.0,2025-11-23 03:29:42,14645,"Dacheng, Taiwan",https://aqicn.org/city/taiwan/dacheng,23.85493056,120.26964167,70,pm25,70.0,35.0,43.7,1.5,2.3,1.6,24.1,72.0,1019.0,2.4,20.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:39:26,2025-11-23
14646,30.0,2025-11-23 03:29:42,14646,"Hua-Tung/Taitung County/Fengli, Taiwan",https://aqicn.org/city/taiwan/hua-tung/taitung-county/fengli,22.73681667,121.12183611,30,o3,25.0,13.0,30.4,1.0,0.6,2.9,26.7,59.0,1019.7,1.7,19.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:39:27,2025-11-23
14893,91.0,2025-11-23 03:29:42,14893,"Manila US Embassy, Philippines",https://aqicn.org/city/philippines/manila/us-embassy,14.57711,120.9778,73,pm25,73.0,,,,,,30.0,70.0,1011.0,1.5,24.0,,,2025-11-23 10:00:00,+08:00,1763892000,2025-11-23 04:38:12,2025-11-23
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,57,pm25,57.0,16.0,42.3,3.2,2.6,4.6,24.0,35.0,1021.0,1.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:42:10,2025-11-23
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,127,pm25,127.0,57.0,50.6,17.0,4.6,4.6,22.0,56.0,1020.0,4.6,13.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:42:09,2025-11-23
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,107,pm25,107.0,67.0,37.4,13.3,7.6,3.7,24.0,35.0,1021.0,1.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:42:20,2025-11-23
801,114.0,2025-11-23 03:29:42,801,"Shuāngqiáo, Jiangmen (江门双桥)",https://aqicn.org/city/guangdong/jiangmen/shuangqiao,22.5862,112.5814,127,pm25,127.0,53.0,41.9,7.4,5.1,3.7,20.2,57.7,1015.5,1.0,11.6,99.6,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:42:32,2025-11-23
805,87.0,2025-11-23 03:29:42,805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",https://aqicn.org/city/guangdong/zhaoqing/kangkouzizhan,23.1617,112.565,95,pm25,95.0,40.0,31.7,14.7,7.6,4.6,24.0,35.0,1021.0,1.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:42:21,2025-11-23
