lat,lon,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,date
17.631352,100.09896,71,71.0,28.0,6.4,2.4,,,24.3,11.6,1009.2,1.0,-7.4,99.0,2025-11-23
16.043252,108.206826,121,121.0,80.0,,,,,23.0,94.0,1018.0,1.5,22.0,,2025-11-23
11.030287,106.35631,27,13.0,27.0,,,,,29.0,74.0,1011.0,1.5,24.0,,2025-11-23
20.980478,105.974463,151,151.0,73.0,11.0,15.0,8.0,4.0,23.0,56.0,1022.0,2.0,14.0,,2025-11-23
10.026977,105.768249,20,11.0,20.0,11.0,1.0,,1.0,28.0,78.0,1012.0,2.5,24.0,,2025-11-23
13.968848,108.017617,114,114.0,14.0,2.0,123.0,48.0,20.0,20.0,85.5,925.5,1.0,17.5,99.2,2025-11-23
20.320741,105.745489,1,18.0,1.0,1.0,3.0,9.0,26.0,23.0,56.0,1022.0,2.0,14.0,,2025-11-23
23.8175497,91.2726974,50,50.0,34.0,0.5,0.1,11.2,,26.56,70.15,750.0,0.44,19.0,,2025-11-23
22.0608,112.607,102,102.0,55.0,30.1,11.5,10.2,4.6,20.4,59.7,1018.2,8.0,12.3,99.0,2025-11-23
22.578889,111.342222,34,34.0,20.0,25.6,9.6,6.1,4.6,22.2,45.9,1005.1,2.0,10.0,99.4,2025-11-23
20.521388,110.314666,102,102.0,55.0,45.1,9.2,5.1,5.5,22.0,64.0,1020.0,4.6,15.0,,2025-11-23
23.638817,112.43656,70,70.0,32.0,24.4,7.8,7.1,6.4,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
23.309117,112.818562,93,93.0,40.0,38.2,5.1,9.7,2.8,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
23.425061,111.515576,99,99.0,46.0,20.8,11.0,1.6,6.4,20.7,54.1,1009.1,1.0,11.1,99.7,2025-11-23
22.763923,112.969881,154,154.0,66.0,24.8,27.0,12.2,6.4,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
23.925704,112.173061,97,97.0,47.0,20.8,10.6,5.1,3.7,9.2,94.7,1008.9,1.0,8.4,99.8,2025-11-23
21.9391,113.2308,153,153.0,54.0,45.9,26.1,5.6,6.4,21.5,60.0,1021.0,5.1,13.5,,2025-11-23
23.0972,113.4458,82,82.0,43.0,32.1,14.2,4.1,3.7,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
22.7969,113.6286,107,107.0,55.0,36.6,22.9,8.2,6.4,24.0,38.0,1021.0,3.6,9.0,,2025-11-23
23.1819,115.40912,76,76.0,32.0,27.7,11.5,3.1,5.5,23.3,49.0,1019.0,3.0,12.0,,2025-11-23
24.064879,114.232013,159,159.0,64.0,17.9,17.9,44.1,9.1,19.7,46.8,989.2,1.0,8.0,,2025-11-23
24.362844,114.143038,80,80.0,41.0,34.2,6.0,4.1,5.5,19.7,46.8,989.2,1.0,8.0,,2025-11-23
24.210664,116.411486,70,70.0,39.0,33.3,4.2,2.6,6.4,22.0,49.0,1021.0,0.5,11.0,,2025-11-23
24.477909,112.642972,99,99.0,41.0,19.5,7.8,3.6,10.9,9.2,94.7,1008.9,1.0,8.4,99.8,2025-11-23
24.572861,112.105194,74,74.0,37.0,28.9,6.9,3.6,4.6,9.2,94.7,1008.9,1.0,8.4,99.8,2025-11-23
